block_height,block_index,total,fees,size,gas_limit,gas_used,gas_price,gas_tip_cap,gas_fee_cap,confirmed,received,ver,double_spend,vin_sz,vout_sz,confirmations,confidence,Label
5633664,56,2.00E+18,4.41E+14,110,21000,21000,21000000000,21000000000,21000000000,1526591730,1526591725,0,0,1,1,9155700,1,1
5634275,54,1.00E+18,4.83E+14,110,21000,21000,23000000000,23000000000,23000000000,1526600925,1526600894,0,0,1,1,9155089,1,1
5679904,31,3.50E+16,8.61E+14,109,21000,21000,41000000000,41000000000,41000000000,1527300829,1527300808,0,0,1,1,9109460,1,1
5684898,38,2.00E+16,1.07E+15,110,75000,21000,51000000000,51000000000,51000000000,1527377413,1527377384,0,0,1,1,9104466,1,1
5696237,134,1.00E+18,3.57E+14,113,50000,21000,17000000000,17000000000,17000000000,1527548803,1527548723,0,0,1,1,9093128,1,1
5696375,51,1.00E+18,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1527551062,1527550998,0,0,1,1,9092990,1,1
5727110,117,6.10E+18,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1528023249,1528023258,0,0,1,1,9062255,1,1
5727347,11,4.00E+18,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1528026994,1528026994,0,0,1,1,9062018,1,1
5727572,14,4.00E+17,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1528030310,1528030304,0,0,1,1,9061794,1,1
5727602,101,3.11E+18,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1528030767,1528030757,0,0,1,1,9061764,1,1
5727610,164,1.20E+18,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1528030907,1528030907,0,0,1,1,9061756,1,1
5728039,141,4.00E+17,6.30E+13,109,21000,21000,3000000000,3000000000,3000000000,1528037673,1528037513,0,0,1,1,9061327,1,1
5738500,43,3.22E+18,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1528198416,1528198392,0,0,1,1,9050866,1,1
5738568,18,3.70E+18,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1528199475,1528199465,0,0,1,1,9050798,1,1
7279414,460,1.00E+17,3.78E+14,110,21000,21000,18000000000,18000000000,18000000000,1551335712,1551335658,0,0,1,1,7509667,1,1
7279436,34,1.93E+16,3.78E+14,109,21000,21000,18000000000,18000000000,18000000000,1551336078,1551336076,0,0,1,1,7509645,1,1
7279486,189,3.62E+15,3.57E+14,109,21000,21000,17000000000,17000000000,17000000000,1551337151,1551337118,0,0,1,1,7509595,1,1
7280425,103,2.00E+16,1.68E+14,109,21000,21000,8000000000,8000000000,8000000000,1551355210,1551355171,0,0,1,1,7508656,1,1
7280502,189,2.00E+16,3.57E+14,109,21000,21000,17000000000,17000000000,17000000000,1551356445,1551356460,0,0,1,1,7508579,1,1
7280504,66,1.52E+16,1.68E+14,111,21000,21000,8000000000,8000000000,8000000000,1551356492,1551356476,0,0,1,1,7508577,1,1
7280520,68,2.00E+15,1.68E+14,109,21000,21000,8000000000,8000000000,8000000000,1551356609,1551356626,0,0,1,1,7508561,1,1
7280538,35,1.94E+17,1.49E+14,110,21000,21000,7100000000,7100000000,7100000000,1551356974,1551356958,0,0,1,1,7508543,1,1
7280541,33,1.09E+16,3.99E+14,109,21000,21000,19000000000,19000000000,19000000000,1551357071,1551357057,0,0,1,1,7508541,1,1
7280559,30,1.20E+17,1.49E+14,112,21000,21000,7100000000,7100000000,7100000000,1551357383,1551357380,0,0,1,1,7508524,1,1
7280629,130,5.00E+16,1.49E+14,111,21000,21000,7100000000,7100000000,7100000000,1551358454,1551358464,0,0,1,1,7508454,1,1
7280668,51,2.19E+17,1.49E+14,112,21000,21000,7100000000,7100000000,7100000000,1551359220,1551359208,0,0,1,1,7508415,1,1
7283198,26,2.74E+18,3.15E+14,113,21000,21000,15000000000,15000000000,15000000000,1551397802,1551397793,0,0,1,1,7505885,1,1
7283250,87,1.26E+18,5.88E+14,110,21000,21000,28000000000,28000000000,28000000000,1551398515,1551398487,0,0,1,1,7505833,1,1
7283252,24,1.24E+18,5.88E+14,110,21000,21000,28000000000,28000000000,28000000000,1551398546,1551398542,0,0,1,1,7505831,1,1
7283277,10,8.19E+17,3.15E+14,113,21000,21000,15000000000,15000000000,15000000000,1551398936,1551398936,0,0,1,1,7505806,1,1
7283350,6,1.61E+17,1.26E+15,114,200000,21000,60000000000,60000000000,60000000000,1551399905,1551399901,0,0,1,1,7505733,1,1
7284224,41,3.98E+17,6.30E+14,112,21000,21000,30000000000,30000000000,30000000000,1551412559,1551412552,0,0,1,1,7504859,1,1
